"Claim ID","Exact supported claim","Direct statistic, finding, or short source excerpt","Source title","Publisher/author","Publication date","Original direct URL","Source category","Source tier","Methodology, sample, geography, and study period","Limitation or caveat","Evidence type","Relevant industry or industries","Relevant workflow","Relevant persona","Suggested use","Status"
"AE-004","AIA AI Task Force provides a firm AI toolkit for architecture practices including maturity levels, policy frameworks, and workflow patterns to support responsible AI adoption; AIA continues AI initiatives including toolkit, education, and symposium.","practical guide to evolving your architecture practice with artificial intelligence—for firms of every size","AIA AI Firm Toolkit / AI Task Force","American Institute of Architects","Toolkit active; 2026 initiatives noted","https://aifirmtoolkit.aia.org/","Professional association toolkit","1 - Professional association","Practice guidance toolkit; U.S. architecture profession; not an empirical outcome study.","Guidance not empirical proof of outcomes; firm self-assessment tools are not third-party validated performance data.","Normative / practice guidance","Architecture","Governed adoption; policy; workflows","Managing Partner; CIO; Practice Leader; Risk","Architecture pack primary association source","verified"
"IP-001","U.S. Copyright Office Report Part 2 (January 2025) concludes questions of copyrightability and AI can be resolved under existing law without legislative change; AI tools used to assist rather than stand in for human creativity do not affect availability of copyright protection for the output; copyright protects original human expression even if a work also includes AI-generated material.","Questions of copyrightability and AI can be resolved pursuant to existing law, without the need for legislative change... use of AI tools to assist rather than stand in for human creativity does not affect the availability of copyright protection","Copyright and Artificial Intelligence, Part 2: Copyrightability","U.S. Copyright Office","January 29, 2025","https://www.copyright.gov/ai/Copyright-and-Artificial-Intelligence-Part-2-Copyrightability-Report.pdf","Government agency legal analysis","1 - Government","Legal analysis informed by NOI receiving >10,000 comments from all 50 states and 67 countries; U.S. copyright law.","Not a court holding; case law continues to evolve; does not resolve training-data infringement questions (Part 3 separate); not legal advice for firms.","Normative / legal analysis (agency)","Creative agencies; architecture; all content-producing PS","Creative production; client deliverables; IP ownership","Risk/GC; Practice Leader; Managing Partner","Creative agency pack; cross-industry IP chapter","approved"
"IP-002","WIPO Generative AI IP factsheet notes generative AI tools are rapidly adopted for content generation, training often uses enormous data including potentially copyright-protected works, and IP uncertainties create significant legal risk alongside operational opportunity.","substantial opportunity to assist business operations and a significant legal risk due to current uncertainties, including intellectual property (IP) questions","Generative AI: Navigating Intellectual Property","World Intellectual Property Organization (WIPO)","2024","https://www.wipo.int/documents/d/frontier-technologies/docs-en-pdf-generative-ai-factsheet.pdf","Intergovernmental IP organization","1 - Intergovernmental","Factsheet; global IP context; not firm survey.","Global/general; not U.S.-specific doctrine; qualitative.","Descriptive / expert framing","Creative agencies; all content producers","IP risk; content generation","Risk/GC; Creative practice leaders","Creative pack IP risk framing (label global)","verified"
"HR-001","EEOC and DOJ (May 12, 2022) warned that employers' use of AI and software tools in selection, monitoring, pay, or promotions can violate the Americans with Disabilities Act; EEOC technical assistance focuses on multiple ADA concerns with automated systems.","Employers' Use of Artificial Intelligence Tools Can Violate the Americans with Disabilities Act","U.S. EEOC and U.S. Department of Justice Warn against Disability Discrimination","U.S. EEOC and U.S. DOJ","May 12, 2022","https://www.eeoc.gov/newsroom/us-eeoc-and-us-department-justice-warn-against-disability-discrimination","Government regulator","1 - Government","Technical assistance / enforcement guidance announcement; United States employment law.","Not a finding that most tools violate ADA; compliance depends on design/use; guidance evolves; not limited to executive search firms but highly relevant to them and any PS firm using AI in hiring.","Normative (regulatory warning)","Executive search; all PS firms hiring with AI","Talent acquisition; client hiring advisory","Risk/GC; Practice Leader (search); COO","Executive search pack compliance; cross-industry HR AI controls","approved"
"U-KNOW-001","Across causal AI productivity studies (Noy/Zhang writing; Dell'Acqua consulting; Brynjolfsson et al. support), gains concentrate disproportionately among less experienced or lower baseline performers, implying AI can compress experience gaps when tasks are inside model capability — a knowledge-reuse/onboarding implication, not automatic firm-level margin improvement.","Inequality between workers decreased (Noy/Zhang); 34% improvement for novice/low-skilled vs minimal for highly skilled (Brynjolfsson et al.); consultants aided on in-frontier tasks (Dell'Acqua)","Synthesis of Noy/Zhang Science 2023; Brynjolfsson et al. NBER w31161; Dell'Acqua et al. SSRN 4573321","Multiple academic authors","2023","https://www.science.org/doi/10.1126/science.adh2586","Academic synthesis (multi-study)","2 - Academic (synthesis judgment flagged)","Cross-study pattern from three distinct causal designs in 2023; different tasks and populations.","STRATEGIC SYNTHESIS: pattern is plausible and repeatedly observed but tasks differ; does not prove PS firm onboarding ROI; professional judgment/liability contexts understudied; do not claim universal 'AI replaces experience.'","Inference from multiple causal studies","All knowledge PS","Onboarding; Knowledge-to-Delivery; quality review","Practice Leader; COO; Managing Partner","Playbook knowledge leverage thesis with explicit inference label","approved"
"U-MEAS-001","There is a documented gap between AI experimentation and enterprise value capture: high functional adoption (McKinsey 88% regular use in ≥1 function) coexists with limited enterprise scaling (nearly two-thirds not scaling) and limited self-reported EBIT impact (39%), while Deloitte finds most GenAI experiments will not fully scale in the near term.","88% regular use vs nearly two-thirds not scaling; 39% EBIT impact; Deloitte >2/3 say ≤30% of experiments fully scale in 3–6 months","McKinsey State of AI 2025; Deloitte State of Generative AI Wave 4","McKinsey; Deloitte","2025 / Jan 2025","https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai","Consultancy surveys (paired)","5 - Consultancy (pattern consistent across two independent surveys)","McKinsey N=1,993 global 2025; Deloitte N=2,773 across 14 countries mid-late 2024; both self-report.","Not PS-specific; large-org bias; self-reported value; consultancy commercial interests; still the best available multi-survey pattern on pilot-to-scale failure.","Descriptive pattern (multi-survey)","Cross-industry; hypothesis for PS","Business case; governed adoption; measurement","CFO; CIO; Managing Partner; COO","Core playbook thesis on why governance + workflow redesign beat tool pilots","approved"
"MSP-001","CompTIA IT Industry Outlook 2025 cites Gartner forecast of worldwide IT spending reaching $5.75 trillion in 2025 (+9.3% YoY), with AI, data analytics, and cloud architecture as investment drivers — macro demand context for MSPs/IT consultancies, not firm-level utilization benchmarks.","total worldwide IT spending for 2025 would be $5.75 trillion... 9.3% growth over 2024","IT Industry Outlook 2025","CompTIA (citing Gartner forecast)","2025","https://www.comptia.org/en-us/resources/research/it-industry-outlook-2025/","Industry association citing analyst forecast","5 - Association + analyst forecast (secondary)","Gartner forecast as cited by CompTIA; global IT spend.","Forecast not outcome; global not U.S. MSP margins; does not measure AI productivity in MSP delivery; CompTIA page is secondary to Gartner.","Expert forecast (secondary citation)","MSP; IT consulting","Market demand context","Managing Partner/CEO; CFO","MSP/IT pack market context only","verified"
"IT-001","Brynjolfsson et al. generative AI support-agent results (14% average productivity; larger for novices) provide the strongest causal evidence transferable as a hypothesis to MSP/IT service desk Tier-1/Tier-2 resolution workflows, subject to major domain-transfer caveats.","14% on average... 34% for novice and low-skilled workers","Generative AI at Work NBER w31161","Brynjolfsson, Li, Raymond","2023","https://www.nber.org/system/files/working_papers/w31161/w31161.pdf","Academic working paper","2 - Academic (transfer is inference)","See U-AI-005.","Transfer to MSP is INFERENCE not direct evidence; original setting is software vendor support chat, primarily non-U.S. agents; ticket mix, SLA, multi-tenant client confidentiality differ for MSPs.","Causal in origin setting; inference for MSP","MSP; IT consulting (service desk)","Ticket resolution; knowledge base; onboarding techs","COO; Practice Leader; CIO","MSP pack opportunity hypothesis with explicit transfer label","approved"
"CONS-001","The strongest direct causal evidence for AI in management consulting delivery is Dell'Acqua et al. (2023) at BCG: +12.2% tasks, +25.1% speed, >40% quality on in-frontier tasks, with quality risk outside the frontier — evidence from one elite global firm.","12.2% more tasks; 25.1% more quickly; more than 40% higher quality (in-frontier)","Navigating the Jagged Technological Frontier","Dell'Acqua et al.","September 2023","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4573321","Academic field experiment","2","N=758 BCG consultants; see U-AI-003/004.","Elite firm only; mid-market consulting untested at this rigor; task design may not match client confidential engagements with data controls.","Causal","Management consulting","Knowledge-to-Delivery; research; drafting; QA","Practice Leader; COO; Managing Partner","Management consulting pack anchor claim","approved"
"SEARCH-001","AESC publishes research on executive search technology trends including generative AI topics (2024 Top Trends in Executive Search Technology), but publicly available landing content reviewed did not yield transparent sample-based productivity or utilization statistics suitable as standalone quantitative claims.","based on 2024 industry surveys... Generative AI and Executive Search (topic listing)","2024 Top Trends in Executive Search Technology","AESC (content associated with member/vendor materials)","2024","https://www.aesc.org/insights/research/2024-top-trends-executive-search-technology","Professional association / industry","1-5 mixed (landing page insufficient)","Page references 2024 industry surveys without N, geo, or full methods on the public landing page reviewed.","EVIDENCE GAP: full report methods/stats not extractable from public page; do not invent search-firm utilization benchmarks. Use EEOC AI-hiring guidance (HR-001) as primary compliance evidence for this industry.","Descriptive (insufficient detail)","Executive search","Sourcing automation; candidate research","Practice Leader; Risk/GC","Flag gap; prioritize primary interviews or AESC full report purchase","candidate"
"CRE-001","No high-quality public primary source reviewed in this research established a defensible industry-standard utilization or realization rate unique to U.S. creative/advertising agencies with transparent methodology suitable for claim-ready publication; agency benchmark blogs exist but failed source-quality bar.","N/A — evidence gap documented","Research library gap analysis","Research synthesis","July 2026","https://www.copyright.gov/ai/Copyright-and-Artificial-Intelligence-Part-2-Copyrightability-Report.pdf","Gap note (use Copyright Office for IP instead)","Gap","Searched ANA/4As/agency financial surveys; public pages lacked transparent citable utilization series meeting standards.","Do not fill with vendor blog '65–80% utilization sweet spot' claims. Prefer client confidential benchmarks or association reports under license. IP/copyright evidence (IP-001) is stronger for this vertical.","Evidence gap","Creative agencies","Utilization economics","CFO; COO","Internal methodology: commission or license primary agency finance survey","reject"
